stop_id,stop_name
0,1300 N @ 1710 W
1,REDWOOD RD @ 8021 S
2,REDWOOD RD @ 1351 N
3,6200 S @ 5699 W
4,COTTONWOOD ST @ 5144 S
5,3500 S @ 8370 W
6,3650 S @ 2880 W
7,WASATCH BLVD @ 3900 S
8,8600 S @ 3400 W
9,WIGHTS FORT RD @ 3431 W
10,3500 S @ 8345 W
11,5600 W @ 4211 S
13,5600 W @ 4150 S
14,3650 S @ 2860 W
15,OLD BINGHAM HWY @ 4786 W
16,6580 @ 2955 E
17,HEMPSTEAD RD @ 183 E
18,300 S @ 600 W
19,MURRAY HOLLADAY RD @ 1910 E
20,9400 S @ 2000 E
21,NORTH MEDICAL DR @ 50 N
23,Sandy Civic - Temp Bus Loop
25,3300 S @ 210 W
27,CENTRAL CAMPUS DRIVE @ 260 S
28,2100 S @ 221 W
31,MEDICAL DR @ 11 N
37,WINCHESTER DR @ 222 W
38,180 W @ 7250 S
46,WALL AVE @ 1725 S
47,KOMAS DR @ 542 S
65,3500 S @ 8385 W
66,MAIN ST @ 507 W
67,FREEDOM BLVD @ 610 S
68,1270 W @ 784 S
69,CAMPUS DR @ 791 W
70,ASHTON BLVD @ 3101 N
71,900 S @ 1350 W
73,700 E @ 11796 S
75,SPARROWHAWK WAY @ 7746 N
76,750 E @ 1145 S
77,1200 S @ 735 W
79,RIVERPARK DR @ 333 W
82,WALL AVE @ 2393 S  (OGDEN TRAN CTR)
83,1850 W @ 2698 N
85,STATE ST @ 355 S
87,WALL AVE @ 2393 S
88,400 E @ 2626 N   (N. OGDEN)
89,2820 N @ 1680 W  (PLEASANT VIEW)
90,ADAMS AVE @ 5558 S
91,2600 N @ 482 E    (NORTH OGDEN)
93,5700 S @ 1998 W    (ROY)
94,WALL AVE @ 2393 S    (OGDEN)
95,EDVALSON STREET @ 1297 E
96,RING RD @ 425 W    (LAYTON MALL)
99,3500 W @ 5515 S    (ROY)
100,UNIVERSITY PKWY @ 2750 N  (LAYTON)
101,MAIN ST @ 325 S
102,OLD POST RD @ 4630 S    (OGDEN)
103,WALL AVE @ 668 N
106,AVC LN @ 502 E
111,STEWART WAY @ 431 S
114,WALL AVE @ 2393 S   (OGDEN STATION)
115,450 N @ 850 W
122,700 N @ 75 E    (BRIGHAM CITY)
124,1300 S @ 180 W
125,490 W @ 230 N
126,490 W @ 240 N
129,KOMAS DR @ 650 S
133,490 W @ 210 N
134,300 W @ 235 N
