CO_TAZID,INC1,INC2,INC3,INC4,TOTHH
30001,0.30,0.25,0.27,0.17,1.10
30002,4.50,3.86,4.17,2.66,15.20
30003,1.54,1.32,1.43,0.91,5.10
30004,6.22,5.34,5.76,3.67,21.00
30005,9.07,7.79,8.40,5.35,30.50
30006,4.50,3.87,4.17,2.66,15.10
30007,0.00,0.00,0.00,0.00,0.00
30008,0.00,0.00,0.00,0.00,0.00
30009,2.68,2.84,3.71,2.85,12.10
30010,11.27,12.78,17.50,14.25,55.80
30011,7.59,8.61,11.79,9.60,37.60
30012,1.94,2.20,3.01,2.45,9.60
30013,33.26,37.72,51.66,42.05,164.70
30014,1.37,1.44,1.86,1.42,6.10
30015,1.42,1.66,2.31,1.92,7.30
30016,3.44,4.01,5.60,4.65,17.60
30017,0.00,0.00,0.00,0.00,0.00
30018,1.59,1.86,2.59,2.15,8.20
30019,0.00,0.00,0.00,0.00,0.00
30020,0.00,0.00,0.00,0.00,0.00
30021,0.00,0.00,0.00,0.00,0.00
30022,0.00,0.00,0.00,0.00,0.00
30023,0.00,0.00,0.00,0.00,0.00
30024,0.00,0.00,0.00,0.00,0.00
30025,0.00,0.00,0.00,0.00,0.00
30026,0.00,0.00,0.00,0.00,0.00
30027,0.00,0.00,0.00,0.00,0.00
30028,1.79,2.09,2.91,2.42,9.20
30029,1.94,2.20,3.01,2.45,9.60
30030,3.88,4.40,6.02,4.90,19.20
30031,6.49,7.57,10.57,8.78,33.50
30032,0.31,0.36,0.50,0.42,1.60
30033,25.08,28.45,38.96,31.71,124.20
30034,83.15,74.57,84.01,55.67,297.40
30035,33.35,38.89,54.28,45.08,171.60
30036,145.12,88.07,57.72,25.49,316.40
30037,13.35,15.07,20.58,16.70,65.70
30038,120.75,89.82,82.22,45.70,338.60
30039,16.73,24.13,38.80,39.06,118.80
30040,61.68,46.69,43.70,24.63,176.70
30041,44.98,35.68,35.36,20.98,137.00
30042,86.85,55.26,39.70,18.59,200.40
30043,72.35,45.63,32.26,14.96,165.20
30044,56.35,32.57,19.12,7.77,115.80
30045,30.90,17.86,10.49,4.26,63.50
30046,63.01,50.85,51.39,31.04,196.30
30047,53.99,43.57,44.05,26.60,168.20
30048,13.63,19.66,31.61,31.82,96.70
30049,108.47,73.41,58.61,29.50,270.00
30050,12.06,17.40,27.98,28.16,85.60
30051,11.16,16.10,25.89,26.06,79.20
30052,60.26,40.79,32.56,16.39,150.10
30053,28.97,34.93,49.96,42.94,156.80
30054,18.36,21.86,30.98,26.30,97.60
30055,7.76,9.24,13.09,11.11,41.30
30056,15.55,18.52,26.25,22.28,82.60
30057,0.00,0.00,0.00,0.00,0.00
30058,7.00,8.16,11.39,9.46,36.00
30059,0.00,0.00,0.00,0.00,0.00
30060,0.00,0.00,0.00,0.00,0.00
30061,0.00,0.00,0.00,0.00,0.00
30062,9.21,7.53,7.72,4.72,29.20
30063,10.40,10.57,13.31,9.83,44.10
30064,54.18,55.01,69.28,51.14,229.70
30065,6.97,5.70,5.85,3.58,22.00
30066,85.49,69.89,71.67,43.83,271.00
30067,54.44,39.42,34.83,18.91,147.60
30068,73.85,55.68,51.85,29.13,210.50
30069,83.21,60.26,53.23,28.90,225.60
30070,162.96,118.01,104.25,56.59,441.90
30071,189.55,152.57,153.75,92.62,588.50
30072,48.42,37.30,35.68,20.49,142.00
30073,9.59,7.39,7.07,4.06,28.20
30074,33.94,24.04,20.58,10.93,89.50
30075,58.86,39.70,31.53,15.80,145.80
30076,66.43,46.04,38.15,19.78,170.40
30077,41.03,24.33,15.18,6.47,87.00
30078,4.26,2.52,1.56,0.66,9.10
30079,130.80,77.30,47.84,20.26,276.30
30080,0.00,0.00,0.00,0.00,0.00
30081,0.00,0.00,0.00,0.00,0.00
30082,0.00,0.00,0.00,0.00,0.00
30083,0.00,0.00,0.00,0.00,0.00
30084,6.43,11.25,20.39,24.73,62.70
30085,7.76,13.58,24.61,29.85,75.80
30086,0.00,0.00,0.00,0.00,0.00
30087,4.98,6.00,8.57,7.35,26.90
30088,42.16,50.76,72.53,62.25,227.60
30089,5.73,10.03,18.18,22.05,56.00
30090,16.79,29.37,53.25,64.59,163.90
30091,16.91,29.59,53.64,65.06,165.20
30092,21.18,37.06,67.18,81.48,206.90
30093,29.25,35.22,50.33,43.19,158.10
30094,0.00,0.00,0.00,0.00,0.00
30095,6.46,9.44,15.31,15.58,46.70
30096,11.17,16.33,26.47,26.93,80.90
30097,37.95,55.47,89.90,91.48,274.70
30098,0.00,0.00,0.00,0.00,0.00
30099,21.64,31.63,51.26,52.17,156.70
30100,12.55,12.78,16.13,11.94,53.30
30101,2.34,3.96,7.01,8.18,21.50
30102,0.00,0.00,0.00,0.00,0.00
30103,0.00,0.00,0.00,0.00,0.00
30104,10.98,11.18,14.11,10.44,46.70
30105,0.00,0.00,0.00,0.00,0.00
30106,5.92,6.03,7.61,5.63,25.20
30107,5.62,5.72,7.22,5.35,23.90
30108,3.91,6.61,11.72,13.66,35.90
30109,0.00,0.00,0.00,0.00,0.00
30110,4.75,4.83,6.10,4.52,20.20
30111,0.71,0.72,0.91,0.67,17.60
30112,0.76,1.29,2.28,2.66,7.00
30113,5.05,5.15,6.49,4.81,21.40
30114,10.16,10.34,13.05,9.66,43.20
30115,1.79,3.02,5.35,6.24,16.50
30116,10.18,10.36,13.08,9.68,43.40
30117,14.69,14.96,18.88,13.97,62.50
30118,18.92,31.98,56.65,66.05,173.60
30119,20.15,20.51,25.89,19.16,85.70
30120,14.20,14.46,18.25,13.51,60.40
30121,6.60,11.16,19.78,23.06,60.60
30122,0.71,0.72,0.91,0.67,11.30
30123,6.26,10.57,18.73,21.84,57.40
30124,29.62,30.16,38.06,28.17,126.00
30125,7.01,11.84,20.98,24.47,64.30
30126,36.83,37.50,47.33,35.03,156.70
30127,19.78,33.43,59.23,69.06,181.60
30128,14.78,22.05,36.17,37.40,110.40
30129,11.07,11.27,14.23,10.53,47.10
30130,0.75,0.77,0.97,0.72,3.20
30131,0.56,0.57,0.72,0.54,2.40
30132,0.28,0.29,0.37,0.27,1.20
30133,0.98,1.00,1.27,0.94,4.20
30134,0.28,0.29,0.36,0.27,1.20
30135,0.00,0.00,0.00,0.00,0.00
30136,0.00,0.00,0.00,0.00,0.00
30137,0.00,0.00,0.00,0.00,0.00
30138,0.00,0.00,0.00,0.00,0.00
30139,0.00,0.00,0.00,0.00,0.00
30140,0.00,0.00,0.00,0.00,0.00
570141,26.81,32.57,46.85,40.56,146.80
570142,5.90,7.17,10.31,8.93,32.30
570143,9.17,11.14,16.03,13.88,50.30
570144,4.63,6.46,10.17,9.94,31.20
570145,24.72,34.50,54.34,53.14,166.70
570146,11.05,15.42,24.28,23.74,74.50
570147,20.05,27.98,44.07,43.09,135.20
570148,22.88,43.33,82.73,109.26,258.20
570149,30.24,57.29,109.39,144.47,341.30
570150,46.71,89.13,171.13,228.33,535.20
570151,21.58,41.04,78.58,104.28,245.50
570152,43.92,83.80,160.90,214.67,503.30
570153,2.47,3.00,4.31,3.73,13.50
570154,7.82,9.49,13.65,11.82,42.80
570155,22.04,26.78,38.52,33.36,120.70
570156,19.90,24.19,34.79,30.12,109.00
570157,8.16,9.90,14.23,12.31,44.70
570158,50.36,54.67,72.58,57.09,234.80
570159,98.33,117.79,167.73,143.26,527.20
570160,9.27,15.17,26.38,29.91,80.70
570161,28.41,46.51,80.88,91.69,247.50
570162,74.42,121.85,211.86,240.17,648.30
570163,0.72,1.18,2.06,2.33,6.30
570164,3.41,5.58,9.71,11.00,29.70
570165,3.19,5.22,9.08,10.30,27.80
570166,13.00,18.82,30.34,30.64,92.80
570167,3.21,4.63,7.45,7.50,22.80
570168,14.04,20.27,32.62,32.87,99.80
570169,23.40,33.80,54.39,54.81,166.50
570170,0.84,1.37,2.38,2.70,7.30
570171,5.97,9.80,17.06,19.37,52.20
570172,8.95,14.68,25.55,29.02,78.20
570173,25.20,41.35,71.98,81.77,220.30
570174,0.82,1.49,2.78,3.52,8.70
570175,0.93,1.68,3.13,3.96,9.70
570176,42.21,76.72,142.69,180.77,442.30
570177,30.19,49.18,85.25,96.20,260.80
570178,66.07,107.63,186.58,210.54,570.80
570179,31.09,50.65,87.80,99.08,268.70
570180,1.50,2.83,5.39,7.09,16.80
570181,8.73,16.49,31.42,41.36,98.00
570182,3.59,5.99,10.55,12.17,32.30
570183,61.97,128.81,266.28,404.94,862.00
570184,96.70,161.51,284.16,327.94,870.20
570185,113.41,101.41,113.92,75.26,404.00
570186,45.11,40.33,45.31,29.94,160.70
570187,46.04,91.83,182.99,261.14,582.00
570188,14.51,28.19,54.96,75.44,173.20
570189,57.86,74.35,111.03,100.85,344.00
570190,48.79,70.33,113.05,113.74,345.80
570191,82.51,107.30,161.46,148.04,499.30
570192,59.46,90.43,150.00,157.50,457.50
570193,26.07,33.08,49.00,44.07,152.20
570194,21.97,27.88,41.30,37.14,128.30
570195,126.92,107.64,114.73,72.42,421.70
570196,232.13,302.04,454.68,417.04,1405.80
570197,16.11,17.93,24.23,19.43,77.70
570198,166.69,185.45,250.60,201.05,803.80
570199,81.87,91.09,123.09,98.75,394.80
570200,58.41,71.32,102.94,89.53,322.20
570201,101.89,117.24,162.17,133.39,514.70
570202,24.90,28.66,39.64,32.60,125.80
570203,49.81,59.42,84.34,71.73,265.30
570204,74.06,102.21,159.86,154.68,490.80
570205,48.63,67.12,104.97,101.57,322.30
570206,3.29,4.54,7.10,6.87,21.80
570207,428.56,277.05,204.74,97.44,1007.80
570208,201.17,208.96,268.08,202.50,880.70
570209,546.30,341.33,237.11,108.76,1233.50
570210,183.94,156.30,166.92,105.52,612.70
570211,40.64,51.57,76.39,68.69,237.30
570212,4.49,5.69,8.43,7.58,26.20
570213,39.56,50.20,74.36,66.87,231.00
570214,102.29,85.53,89.84,56.04,333.80
570215,0.00,0.00,0.00,0.00,0.00
570216,0.00,0.00,0.00,0.00,0.00
570217,343.48,284.51,295.91,183.10,1107.00
570218,155.07,128.45,133.60,82.67,499.80
570219,393.28,231.85,142.69,60.18,828.00
570220,355.97,206.05,121.48,49.50,733.00
570221,432.32,234.14,115.49,43.86,825.80
570222,213.86,187.15,205.72,132.97,739.70
570223,31.36,27.54,30.39,19.69,109.00
570224,144.98,130.40,147.36,97.96,520.70
570225,142.74,128.68,145.75,97.13,514.30
570226,139.74,89.15,64.38,30.23,323.50
570227,183.54,125.00,100.81,51.15,460.50
570228,126.20,86.73,70.96,36.42,320.30
570229,137.95,125.20,142.76,95.80,501.80
570230,112.60,108.71,131.23,93.15,445.70
570231,158.47,150.28,178.58,124.88,612.20
570232,2.63,4.74,8.76,10.98,27.00
570233,5.08,9.14,16.90,21.19,52.30
570234,10.35,18.64,34.47,43.22,106.80
570235,6.39,11.50,21.26,26.66,65.80
570236,8.91,16.04,29.66,37.19,91.80
570237,4.14,7.46,13.79,17.30,42.70
570238,18.51,33.33,61.61,77.26,190.70
570239,0.69,1.24,2.29,2.87,7.00
570240,6.47,11.66,21.55,27.03,66.70
570241,9.04,16.29,30.11,37.75,93.20
570242,5.36,9.65,17.84,22.37,55.20
570243,34.32,33.29,40.35,28.75,136.70
570244,8.26,8.01,9.71,6.92,32.80
570245,8.49,8.23,9.98,7.11,33.70
570246,59.60,57.81,70.07,49.92,237.30
570247,20.79,20.16,24.43,17.41,82.80
570248,10.92,10.59,12.84,9.15,43.50
570249,20.46,19.85,24.05,17.14,81.50
570250,4.02,7.94,15.71,22.13,49.80
570251,7.41,14.64,28.96,40.80,91.70
570252,8.44,16.68,32.99,46.49,104.70
570253,1.84,3.64,7.19,10.13,22.80
570254,11.28,22.29,44.10,62.13,139.80
570255,6.23,12.31,24.35,34.31,77.20
570256,18.80,37.15,73.50,103.55,233.00
570257,16.79,33.18,65.64,92.49,208.00
570258,23.23,45.92,90.84,128.00,288.00
570259,4.54,8.98,17.76,25.02,56.30
570260,7.94,3.79,1.12,0.37,13.20
570261,17.25,8.23,2.43,0.79,28.70
570262,6.19,2.95,0.87,0.29,10.30
570263,0.65,0.31,0.09,0.03,1.20
570264,4.21,2.01,0.59,0.19,7.00
570265,12.45,23.48,44.73,58.85,139.50
570266,5.21,9.83,18.72,24.64,58.30
570267,29.42,55.50,105.71,139.08,329.70
570268,43.65,82.36,156.87,206.40,489.30
570269,22.87,41.75,77.87,99.10,241.70
570270,42.99,78.46,146.33,186.22,454.00
570271,33.26,60.71,113.24,144.10,351.30
570272,40.63,76.62,145.89,191.86,455.00
570273,19.57,36.91,70.28,92.43,219.20
570274,26.15,49.31,93.88,123.46,292.70
570275,36.70,69.21,131.78,173.30,411.00
570276,167.29,234.10,369.44,362.17,1133.00
570277,38.03,53.23,84.00,82.35,257.50
570278,71.73,100.38,158.41,155.30,485.80
570279,225.45,243.90,322.93,253.22,1045.50
570280,209.08,247.31,348.90,294.21,1099.50
570281,314.28,223.64,192.74,102.84,833.50
570282,100.00,115.82,160.92,132.97,509.80
570283,98.47,95.02,114.66,81.35,389.50
570284,103.37,107.95,139.08,105.60,456.00
570285,236.71,198.61,209.38,131.01,775.70
570286,220.05,273.64,399.92,353.58,1247.20
570287,57.71,69.51,99.36,85.32,312.00
570288,103.25,159.67,267.81,286.57,817.20
570289,74.22,129.32,233.76,281.99,719.30
570290,48.84,84.25,151.20,180.10,464.50
570291,104.30,109.62,141.95,108.45,464.30
570292,95.57,111.02,154.55,127.96,489.00
570293,127.50,137.92,182.60,143.17,591.20
570294,180.03,137.45,130.00,73.82,521.30
570295,123.57,94.31,89.26,50.67,357.70
570296,160.46,160.86,200.45,146.41,668.20
570297,58.07,62.36,82.10,63.96,266.50
570298,53.35,81.49,135.57,143.07,413.50
570299,79.14,117.33,191.77,197.35,585.50
570300,144.37,130.84,148.97,99.82,524.00
570301,81.33,86.22,112.40,86.57,366.50
570302,90.74,88.11,106.91,76.24,362.00
570303,7.89,10.02,14.84,13.34,46.20
570304,2.21,2.14,2.59,1.85,8.80
570305,69.07,66.99,81.20,57.85,275.00
570306,55.63,27.86,10.38,3.64,97.50
570307,181.47,90.88,33.85,11.88,318.00
570308,152.04,106.33,89.34,46.79,394.50
570309,206.80,108.88,49.09,18.23,383.00
570310,111.06,79.04,68.14,36.37,294.70
570311,124.86,103.94,108.67,67.54,405.00
570312,286.10,238.16,249.00,154.74,928.00
570313,1.20,0.57,0.17,0.06,2.00
570314,6.19,2.95,0.87,0.29,10.30
570315,252.38,120.48,35.51,11.63,420.00
570316,4.39,2.07,0.56,0.18,7.30
570317,2.26,1.06,0.29,0.09,3.70
570318,2.74,1.29,0.35,0.11,4.50
570319,115.95,54.61,14.88,4.78,190.20
570320,22.55,10.62,2.89,0.93,37.00
570321,8.11,3.82,1.04,0.33,13.30
570322,115.52,54.41,14.82,4.76,189.50
570323,26.52,12.49,3.40,1.09,43.50
570324,53.96,28.22,12.44,4.59,99.20
570325,0.43,0.20,0.05,0.02,0.80
570326,1.04,0.49,0.13,0.04,1.70
570327,43.15,20.32,5.54,1.78,69.80
570328,27.63,11.52,0.64,0.00,39.80
570329,106.86,50.33,13.71,4.41,175.30
570330,0.61,0.29,0.08,0.03,1.00
570331,0.00,0.00,0.00,0.00,0.00
570332,190.97,89.94,24.50,7.87,313.30
570333,59.17,29.52,10.82,3.78,103.20
570334,17.63,8.67,2.98,1.02,30.30
570335,43.06,18.83,2.72,0.67,65.30
570336,96.95,40.40,2.25,0.00,139.50
570337,165.62,88.01,40.86,15.30,309.70
570338,159.47,84.70,39.31,14.71,298.20
570339,486.43,202.70,11.28,0.00,700.50
570340,276.95,115.43,6.42,0.00,398.80
570341,63.31,44.05,36.72,19.12,163.20
570342,212.47,147.82,123.24,64.17,547.70
570343,432.15,218.16,84.05,29.83,764.20
570344,166.00,123.13,112.30,62.27,463.70
570345,1.33,0.83,0.57,0.26,3.00
570346,254.05,158.13,109.04,49.79,571.00
570347,86.22,75.11,82.21,52.96,296.50
570348,116.75,105.91,120.69,80.95,424.20
570349,51.38,44.76,49.00,31.57,176.80
570350,13.16,6.75,2.78,1.01,23.70
570351,192.84,98.95,40.68,14.73,347.20
570352,52.29,21.79,1.21,0.00,75.30
570353,97.10,40.46,2.25,0.00,139.70
570354,378.88,169.88,31.95,9.09,589.70
570355,256.53,168.27,127.47,61.51,613.80
570356,218.90,119.89,61.12,23.39,423.30
570357,206.45,124.63,80.80,35.40,447.30
570358,188.43,105.78,57.70,22.40,374.30
570359,154.33,114.49,104.44,57.92,431.20
570360,43.51,50.35,69.91,57.73,221.50
570361,121.26,140.97,196.34,162.65,621.30
570362,48.82,56.90,79.38,65.89,251.00
570363,34.78,17.43,6.51,2.29,61.00
570364,6.41,8.96,14.12,13.81,43.30
570365,98.04,47.92,15.95,5.38,167.30
570366,114.82,62.70,31.69,12.10,221.30
570367,0.00,0.00,0.00,0.00,0.00
570368,85.38,41.73,13.89,4.68,145.70
570369,93.86,51.25,25.90,9.89,180.80
570370,169.38,116.11,94.61,48.41,428.50
570371,216.52,139.08,101.64,48.06,505.30
570372,102.30,70.16,57.18,29.26,258.80
570373,303.65,229.00,213.34,119.92,865.80
570374,318.53,157.83,56.08,19.37,551.80
570375,20.31,28.12,44.08,42.79,135.30
570376,65.71,90.99,142.63,138.46,437.80
570377,111.69,69.69,48.30,22.12,251.80
570378,113.18,68.90,45.46,20.16,247.70
570379,70.01,43.26,29.41,13.31,156.00
570380,145.51,118.71,121.45,74.12,459.80
570381,66.01,52.65,52.51,31.34,202.50
570382,188.34,155.57,161.31,99.57,604.80
570383,19.70,42.95,94.74,161.71,319.20
570384,38.81,44.31,60.99,49.89,194.00
570385,41.93,62.65,102.85,106.46,313.80
570386,223.98,258.50,358.30,295.32,1136.00
570387,95.29,133.09,209.76,205.26,643.30
570388,113.82,93.22,95.78,58.66,361.50
570389,88.91,54.68,36.84,16.57,197.00
570390,82.33,51.37,35.60,16.30,185.50
570391,0.22,0.24,0.31,0.24,1.00
570392,129.34,114.65,127.67,83.53,455.20
570393,131.98,142.22,187.75,146.72,608.70
570394,160.56,152.09,180.53,126.12,619.30
570395,61.91,92.84,152.73,158.52,466.00
570396,99.13,128.36,192.64,176.06,596.30
570397,56.61,64.65,88.96,72.78,283.00
570398,33.93,43.36,64.53,58.37,200.20
570399,0.35,0.27,0.25,0.14,1.00
570400,4.95,3.75,3.52,1.98,14.20
570401,251.88,190.86,178.85,100.90,722.50
570402,0.00,0.00,0.00,0.00,0.00
570403,145.41,89.44,60.26,27.10,322.20
570404,103.02,62.43,40.79,17.97,224.20
570405,515.95,239.12,58.56,18.27,831.80
570406,165.17,119.59,105.61,57.32,447.80
570407,113.71,110.25,133.59,95.15,452.70
570408,110.12,70.22,50.66,23.78,254.80
570409,44.92,71.40,121.89,134.28,372.50
570410,1.72,2.74,4.68,5.15,14.30
570411,97.72,95.87,117.35,84.36,395.20
570412,239.38,247.57,316.50,238.05,1041.50
570413,222.24,230.12,294.48,221.76,968.70
570414,77.88,92.97,132.05,112.39,415.30
570415,83.35,158.18,302.36,400.00,944.00
570416,23.42,36.45,61.39,66.14,187.30
570417,157.57,284.94,528.24,665.56,1636.30
570418,355.48,312.48,344.97,223.68,1236.70
570419,13.13,35.10,100.98,270.10,419.30
570420,36.25,55.89,93.56,99.80,285.50
570421,0.00,0.00,0.00,0.00,0.00
570422,0.00,0.00,0.00,0.00,0.00
570423,0.00,0.00,0.00,0.00,0.00
110424,5.75,11.27,22.14,30.83,70.00
110425,5.06,9.91,19.48,27.13,61.70
110426,51.42,100.82,198.13,275.93,626.30
110427,93.81,183.95,361.50,503.44,1142.70
110428,22.28,27.04,38.86,33.61,121.70
110429,56.67,68.78,98.85,85.50,309.80
110430,69.28,84.06,120.80,104.47,378.70
110431,47.30,57.41,82.52,71.37,258.70
110432,58.57,71.09,102.17,88.37,320.20
110433,53.95,72.59,111.64,105.31,343.50
110434,132.10,177.73,273.33,257.84,841.00
110435,114.08,174.50,290.58,307.14,886.20
110436,33.21,50.80,84.59,89.41,258.00
110437,11.95,14.89,21.78,19.29,68.00
110438,47.39,59.04,86.38,76.49,269.30
110439,17.25,21.48,31.43,27.83,98.00
110440,65.62,81.75,119.62,105.92,372.80
110441,50.36,77.30,129.02,136.91,393.50
110442,23.47,36.02,60.12,63.80,183.50
110443,6.59,10.12,16.88,17.92,51.50
110444,40.77,62.57,104.44,110.83,318.50
110445,75.84,98.48,148.07,135.61,458.00
110446,166.68,146.51,161.74,104.87,579.80
110447,75.99,76.23,95.03,69.44,316.70
110448,110.47,106.10,127.51,90.13,434.30
110449,244.52,166.57,134.39,68.22,613.70
110450,125.24,136.82,182.48,144.27,588.80
110451,75.84,104.60,163.53,158.14,502.20
110452,195.44,140.75,123.38,66.62,526.20
110453,140.70,114.23,116.25,70.62,441.80
110454,106.69,109.61,139.37,104.13,459.80
110455,190.24,136.71,119.48,64.38,510.80
110456,57.86,54.90,65.28,45.67,223.70
110457,53.13,76.84,123.76,124.85,378.50
110458,76.74,110.99,178.75,180.33,546.80
110459,38.54,69.29,127.97,160.20,396.00
110460,48.32,86.00,157.75,195.22,487.30
110461,36.29,64.60,118.48,146.63,366.00
110462,67.73,120.54,221.10,273.62,683.00
110463,101.29,85.56,90.82,57.14,334.80
110464,176.29,148.91,158.06,99.44,582.80
110465,159.40,203.16,301.82,272.41,936.80
110466,40.41,37.27,43.17,29.43,150.30
110467,245.94,331.83,511.29,483.73,1572.80
110468,58.29,36.04,24.54,11.11,130.00
110469,153.14,131.20,141.28,89.89,515.50
110470,135.93,76.48,41.97,16.32,270.70
110471,194.68,184.78,219.75,153.79,753.00
110472,494.84,294.58,185.33,79.46,1054.20
110473,201.25,149.28,136.16,75.51,562.20
110474,0.00,0.00,0.00,0.00,0.00
110475,0.00,0.00,0.00,0.00,0.00
110476,0.00,0.00,0.00,0.00,0.00
110477,0.00,0.00,0.00,0.00,0.00
110478,0.00,0.00,0.00,0.00,0.00
110479,78.35,60.79,58.67,33.98,231.80
110480,0.00,0.00,0.00,0.00,0.00
110481,65.99,94.66,151.69,151.98,464.30
110482,81.62,117.08,187.62,187.97,574.30
110483,111.51,121.53,161.80,127.66,522.50
110484,84.08,91.64,122.01,96.27,394.00
110485,1.01,1.55,2.58,2.74,8.00
110486,0.00,0.00,0.00,0.00,0.00
110487,84.04,142.09,251.77,293.60,771.50
110488,65.60,136.99,285.07,439.04,926.70
110489,1.81,4.77,13.17,33.06,52.80
110490,141.84,188.57,287.65,268.03,886.20
110491,72.35,96.19,146.73,136.72,452.00
110492,79.14,125.78,214.73,236.56,656.20
110493,77.19,122.20,208.09,228.32,635.80
110494,88.03,140.74,241.17,267.27,737.20
110495,61.16,98.07,168.36,187.11,514.80
110496,85.89,135.07,229.05,249.60,699.50
110497,157.42,209.25,319.17,297.36,983.20
110498,92.96,144.56,243.36,262.02,743.00
110499,209.24,283.06,436.92,414.49,1343.70
110500,28.21,61.28,134.63,228.07,452.20
110501,66.90,69.38,88.89,67.04,292.20
110502,38.31,83.20,182.81,309.68,614.00
110503,70.17,72.77,93.23,70.32,306.50
110504,358.50,358.65,446.16,325.40,1488.70
110505,595.80,355.09,223.93,96.19,1271.00
110506,0.37,0.49,0.74,0.69,2.30
110507,65.34,86.87,132.51,123.47,408.20
110508,19.31,35.22,65.67,83.52,203.70
110509,31.37,57.23,106.70,135.71,331.00
110510,26.82,48.93,91.22,116.02,283.00
110511,51.56,94.05,175.36,223.03,544.00
110512,66.83,86.40,129.54,118.24,401.00
110513,375.59,231.12,155.85,70.14,832.70
110514,68.61,88.70,132.99,121.39,411.70
110515,188.31,226.23,322.79,276.46,1013.80
110516,77.51,147.90,284.00,378.99,888.30
110517,9.58,28.38,102.68,367.57,508.20
110518,1.01,2.60,6.62,14.58,24.70
110519,8.27,24.48,88.60,317.16,438.50
110520,16.50,42.29,107.85,237.56,404.20
110521,23.50,45.05,86.86,116.79,272.20
110522,6.65,19.70,71.28,255.18,352.80
110523,27.32,70.02,178.59,393.37,669.30
110524,146.25,180.66,262.85,231.05,820.80
110525,644.45,409.26,293.05,136.94,1483.70
110526,715.14,345.68,108.81,36.17,1205.70
110527,219.87,206.49,243.21,168.62,838.20
110528,458.22,350.96,333.30,190.02,1332.50
110529,45.46,77.82,138.91,163.80,426.00
110530,332.20,391.91,551.83,464.07,1740.00
110531,14.51,25.56,46.54,56.89,143.50
110532,69.30,125.14,231.78,291.59,717.80
110533,87.80,158.37,293.09,368.23,907.50
110534,71.20,147.30,302.33,453.47,974.30
110535,146.98,255.17,460.06,552.50,1414.70
110536,26.89,48.26,89.02,111.23,275.50
110537,38.42,68.95,127.20,158.93,393.50
110538,138.83,140.64,176.74,130.10,586.30
110539,190.42,79.36,4.42,0.00,274.20
110540,105.21,43.85,2.44,0.00,151.50
110541,587.55,389.12,299.59,146.24,1422.50
110542,171.20,269.59,457.58,499.33,1397.70
110543,208.68,300.05,481.54,483.44,1473.70
110544,165.37,218.40,331.82,307.73,1023.30
110545,295.74,214.68,190.26,103.51,804.30
110546,114.40,195.96,349.94,413.01,1073.30
110547,107.36,122.52,168.52,137.80,536.20
110548,223.53,167.06,153.86,85.86,630.20
110549,235.82,160.08,128.42,64.89,589.30
110550,22.22,55.92,140.43,301.63,520.20
110551,35.11,65.26,123.15,159.69,383.20
110552,72.34,109.25,180.45,188.27,550.20
110553,50.14,114.39,263.86,488.72,917.20
110554,70.02,135.36,262.87,358.25,826.50
110555,76.57,158.76,326.97,493.70,1056.00
110556,39.92,79.04,156.55,221.09,496.50
110557,71.34,140.47,276.99,388.11,877.00
110558,55.90,108.87,212.72,293.22,670.70
110559,30.59,65.84,142.99,237.57,477.00
110560,3.25,6.99,15.16,25.11,50.50
110561,19.06,40.69,87.39,142.47,289.70
110562,0.56,1.20,2.61,4.33,8.70
110563,78.25,154.08,303.84,425.74,961.80
110564,29.26,57.61,113.59,159.14,359.70
110565,0.00,0.00,0.00,0.00,0.00
110566,26.74,52.65,103.83,145.48,328.70
110567,32.32,63.64,125.49,175.84,397.20
110568,16.35,32.20,63.49,88.96,201.00
110569,0.24,0.48,0.95,1.33,3.00
110570,59.97,71.50,101.47,86.26,319.20
110571,25.61,40.63,69.28,76.18,211.70
110572,10.25,24.91,60.79,124.45,220.50
110573,49.30,78.20,133.35,146.63,407.50
110574,16.80,40.82,99.65,204.03,361.30
110575,0.75,1.16,1.96,2.12,6.00
110576,3.11,4.84,8.16,8.80,24.80
110577,1.64,2.55,4.29,4.63,13.20
110578,45.65,90.99,181.21,258.34,576.20
110579,21.36,50.67,121.10,238.67,431.70
110580,29.81,59.42,118.35,168.73,376.20
110581,22.25,52.24,123.73,239.77,438.00
110582,21.18,49.70,117.64,227.68,416.30
110583,49.13,88.76,164.44,206.97,509.30
110584,4.49,7.00,11.79,12.72,36.00
110585,32.25,50.24,84.67,91.35,258.50
110586,0.00,0.00,0.00,0.00,0.00
110587,0.75,1.17,1.97,2.12,6.00
110588,73.94,115.18,194.14,209.44,592.80
110589,42.14,53.84,80.10,72.42,248.50
110590,95.19,121.60,180.92,163.59,561.30
110591,46.21,59.03,87.83,79.42,272.50
110592,40.23,33.13,34.25,21.09,128.70
110593,174.53,143.76,148.61,91.50,558.50
110594,90.54,74.58,77.10,47.47,289.70
110595,37.81,50.82,78.09,73.57,240.30
110596,58.66,78.84,121.15,114.14,372.80
110597,43.07,57.87,88.91,83.76,273.70
110598,89.87,152.29,270.19,315.66,828.00
