CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP
30001,1.1,2.1,1.91,0.0
30002,15.2,45.9,3.02,3.6
30003,5.1,12.6,2.47,2.6
30004,21.0,39.3,1.87,24.1
30005,30.5,78.6,2.58,69.5
30006,15.1,42.7,2.83,43.9
30007,0.0,0.0,0.00,171.9
30008,0.0,0.0,0.00,0.0
30009,12.1,48.0,3.97,0.0
30010,55.8,163.4,2.93,11.0
30011,37.6,120.1,3.19,7.1
30012,9.6,17.9,1.86,42.6
30013,164.7,528.5,3.21,50.7
30014,6.1,12.4,2.03,0.0
30015,7.3,16.1,2.21,0.0
30016,17.6,66.9,3.80,1.3
30017,0.0,0.0,0.00,0.0
30018,8.2,23.3,2.84,0.0
30019,0.0,0.0,0.00,8.2
30020,0.0,0.0,0.00,96.9
30021,0.0,0.0,0.00,0.0
30022,0.0,0.0,0.00,0.0
30023,0.0,0.0,0.00,9.2
30024,0.0,0.0,0.00,0.0
30025,0.0,0.0,0.00,694.7
30026,0.0,0.0,0.00,0.0
30027,0.0,0.0,0.00,0.0
30028,9.2,17.2,1.87,12.5
30029,9.6,17.9,1.86,281.8
30030,19.2,35.9,1.87,98.9
30031,33.5,84.3,2.52,102.4
30032,1.6,3.1,1.94,2233.6
30033,124.2,511.3,4.12,16.0
30034,297.4,862.2,2.90,181.3
30035,171.6,529.1,3.08,3.1
30036,316.4,807.1,2.55,58.5
30037,65.7,206.4,3.14,128.7
30038,338.6,866.3,2.56,228.9
30039,118.8,285.6,2.40,146.9
30040,176.7,393.7,2.23,187.7
30041,137.0,420.4,3.07,7.9
30042,200.4,554.7,2.77,156.7
30043,165.2,458.1,2.77,8.9
30044,115.8,296.2,2.56,337.2
30045,63.5,187.5,2.95,10.3
30046,196.3,540.7,2.75,773.8
30047,168.2,450.6,2.68,144.4
30048,96.7,305.3,3.16,2.0
30049,270.0,747.3,2.77,3.4
30050,85.6,231.6,2.71,4.3
30051,79.2,202.8,2.56,4.9
30052,150.1,386.3,2.57,53.6
30053,156.8,530.5,3.38,8.8
30054,97.6,279.6,2.86,8.2
30055,41.3,107.2,2.60,4.9
30056,82.6,273.5,3.31,43.3
30057,0.0,0.0,0.00,10.1
30058,36.0,79.0,2.19,322.1
30059,0.0,0.0,0.00,0.0
30060,0.0,0.0,0.00,0.0
30061,0.0,0.0,0.00,0.0
30062,29.2,111.2,3.81,102.9
30063,44.1,115.3,2.61,663.5
30064,229.7,606.0,2.64,745.9
30065,22.0,54.2,2.46,176.4
30066,271.0,763.1,2.82,64.8
30067,147.6,347.5,2.35,123.8
30068,210.5,624.0,2.96,40.4
30069,225.6,674.6,2.99,159.1
30070,441.9,1140.9,2.58,1036.8
30071,588.5,1663.1,2.83,676.5
30072,142.0,379.3,2.67,108.1
30073,28.2,74.1,2.63,37.1
30074,89.5,319.1,3.57,76.2
30075,145.8,347.2,2.38,169.7
30076,170.4,432.0,2.54,44.3
30077,87.0,261.7,3.01,20.5
30078,9.1,31.6,3.47,0.0
30079,276.3,676.7,2.45,532.7
30080,0.0,0.0,0.00,0.0
30081,0.0,0.0,0.00,189.7
30082,0.0,0.0,0.00,247.9
30083,0.0,0.0,0.00,387.0
30084,62.7,207.7,3.31,205.4
30085,75.8,253.2,3.34,266.4
30086,0.0,0.0,0.00,0.0
30087,26.9,79.0,2.94,5.0
30088,227.6,819.1,3.60,89.4
30089,56.0,114.8,2.05,73.2
30090,163.9,477.5,2.91,54.0
30091,165.2,404.8,2.45,25.4
30092,206.9,564.2,2.73,19.2
30093,158.1,498.0,3.15,36.8
30094,0.0,0.0,0.00,0.0
30095,46.7,151.6,3.25,4.9
30096,80.9,239.6,2.96,76.9
30097,274.7,891.2,3.24,42.7
30098,0.0,0.0,0.00,0.0
30099,156.7,537.7,3.43,7.9
30100,53.3,147.1,2.76,1.7
30101,21.5,68.2,3.17,9.9
30102,0.0,0.0,0.00,0.0
30103,0.0,0.0,0.00,0.0
30104,46.7,144.2,3.09,0.0
30105,0.0,0.0,0.00,0.0
30106,25.2,73.6,2.92,0.0
30107,23.9,90.5,3.79,0.0
30108,35.9,111.5,3.11,1.4
30109,0.0,0.0,0.00,78.1
30110,20.2,54.1,2.68,14.9
30111,17.6,21.2,1.20,13.5
30112,7.0,28.3,4.04,0.0
30113,21.4,56.5,2.64,1.0
30114,43.2,136.0,3.15,4.2
30115,16.5,53.8,3.26,1.2
30116,43.4,80.9,1.86,0.0
30117,62.5,173.5,2.78,62.6
30118,173.6,425.8,2.45,14.8
30119,85.7,228.7,2.67,0.0
30120,60.4,179.5,2.97,8.1
30121,60.6,173.5,2.86,2.1
30122,11.3,13.6,1.20,0.0
30123,57.4,173.9,3.03,0.6
30124,126.0,392.0,3.11,10.4
30125,64.3,208.5,3.24,28.6
30126,156.7,543.2,3.47,25.0
30127,181.6,593.7,3.27,18.4
30128,110.4,255.8,2.32,75.0
30129,47.1,122.0,2.59,0.0
30130,3.2,10.1,3.16,0.0
30131,2.4,6.8,2.83,10.7
30132,1.2,4.5,3.75,25.8
30133,4.2,15.8,3.76,0.0
30134,1.2,2.2,1.83,0.0
30135,0.0,0.0,0.00,0.0
30136,0.0,0.0,0.00,0.0
30137,0.0,0.0,0.00,0.0
30138,0.0,0.0,0.00,0.0
30139,0.0,0.0,0.00,0.0
30140,0.0,0.0,0.00,0.0
570141,146.8,406.7,2.77,947.7
570142,32.3,96.0,2.97,0.0
570143,50.3,156.2,3.10,0.0
570144,31.2,85.4,2.74,0.0
570145,166.7,501.2,3.01,0.0
570146,74.5,220.6,2.96,2.0
570147,135.2,430.3,3.18,2.2
570148,258.2,796.3,3.08,195.7
570149,341.3,1089.5,3.19,39.7
570150,535.2,1806.3,3.38,393.7
570151,245.5,814.7,3.32,151.5
570152,503.3,1626.1,3.23,81.7
570153,13.5,32.8,2.43,4.3
570154,42.8,135.8,3.17,3.8
570155,120.7,385.7,3.20,6.5
570156,109.0,339.3,3.11,10.3
570157,44.7,103.2,2.31,2.8
570158,234.8,675.4,2.88,56.7
570159,527.2,1598.6,3.03,217.0
570160,80.7,207.1,2.57,9.3
570161,247.5,691.4,2.79,2.8
570162,648.3,1513.9,2.34,942.3
570163,6.3,16.9,2.66,41.8
570164,29.7,90.3,3.05,1.8
570165,27.8,71.5,2.57,126.7
570166,92.8,264.6,2.85,2.3
570167,22.8,58.1,2.54,2.3
570168,99.8,286.7,2.87,22.8
570169,166.5,455.8,2.74,67.2
570170,7.3,23.5,3.20,1.0
570171,52.2,142.0,2.72,1.0
570172,78.2,209.8,2.68,0.0
570173,220.3,617.8,2.80,624.0
570174,8.7,30.3,3.49,0.0
570175,9.7,20.7,2.14,0.0
570176,442.3,1306.9,2.95,6.5
570177,260.8,780.9,2.99,722.5
570178,570.8,1819.5,3.19,771.3
570179,268.7,957.8,3.57,78.0
570180,16.8,52.0,3.09,0.0
570181,98.0,303.9,3.10,9.5
570182,32.3,88.0,2.72,2.8
570183,862.0,2730.8,3.17,334.0
570184,870.2,2632.9,3.03,7.7
570185,404.0,965.8,2.39,109.2
570186,160.7,432.8,2.69,582.2
570187,582.0,1890.3,3.25,128.5
570188,173.2,557.9,3.22,0.7
570189,344.0,1158.2,3.37,90.3
570190,345.8,965.4,2.79,3.3
570191,499.3,1360.7,2.73,150.8
570192,457.5,1347.8,2.95,18.0
570193,152.2,474.2,3.12,1989.8
570194,128.3,405.0,3.16,2105.7
570195,421.7,1219.4,2.89,307.2
570196,1405.8,3771.8,2.68,797.0
570197,77.7,225.3,2.90,8.3
570198,803.8,2372.6,2.95,191.0
570199,394.8,1213.3,3.07,384.8
570200,322.2,859.5,2.67,1677.5
570201,514.7,1309.1,2.54,1012.3
570202,125.8,349.3,2.78,0.0
570203,265.3,754.1,2.84,19.3
570204,490.8,1420.1,2.89,290.0
570205,322.3,997.9,3.10,10.8
570206,21.8,61.1,2.80,0.3
570207,1007.8,2764.7,2.74,187.5
570208,880.7,2661.8,3.02,107.2
570209,1233.5,3416.0,2.77,118.7
570210,612.7,1811.2,2.96,1.3
570211,237.3,733.3,3.09,46.3
570212,26.2,84.4,3.22,168.0
570213,231.0,664.5,2.88,112.8
570214,333.8,810.7,2.43,726.8
570215,0.0,0.0,0.00,5214.0
570216,0.0,0.0,0.00,7720.7
570217,1107.0,3310.7,2.99,142.3
570218,499.8,1540.7,3.08,535.3
570219,828.0,2036.1,2.46,1100.5
570220,733.0,1710.3,2.33,1638.0
570221,825.8,1958.8,2.37,443.7
570222,739.7,1997.2,2.70,167.2
570223,109.0,281.6,2.58,1.5
570224,520.7,1376.7,2.64,13.3
570225,514.3,1324.5,2.58,13.0
570226,323.5,920.8,2.85,51.7
570227,460.5,1181.0,2.56,1002.3
570228,320.3,818.0,2.55,286.3
570229,501.8,1131.5,2.25,629.2
570230,445.7,987.3,2.22,8.8
570231,612.2,1429.5,2.34,5.2
570232,27.0,83.2,3.08,5.2
570233,52.3,161.1,3.08,11.8
570234,106.8,310.6,2.91,14.7
570235,65.8,196.4,2.98,1.0
570236,91.8,279.3,3.04,2.5
570237,42.7,131.9,3.09,1.0
570238,190.7,568.5,2.98,7.3
570239,7.0,22.8,3.26,1.3
570240,66.7,201.4,3.02,0.7
570241,93.2,285.2,3.06,22.5
570242,55.2,164.8,2.99,2.7
570243,136.7,406.8,2.98,62.3
570244,32.8,89.7,2.73,276.0
570245,33.7,79.9,2.37,309.2
570246,237.3,669.4,2.82,480.3
570247,82.8,179.0,2.16,842.0
570248,43.5,113.3,2.61,197.7
570249,81.5,205.0,2.52,700.3
570250,49.8,142.8,2.87,1.7
570251,91.7,300.6,3.28,5.8
570252,104.7,343.2,3.28,0.8
570253,22.8,68.5,3.00,0.5
570254,139.8,438.8,3.14,5.8
570255,77.2,226.7,2.94,75.2
570256,233.0,792.7,3.40,105.5
570257,208.0,640.5,3.08,15.0
570258,288.0,967.4,3.36,49.2
570259,56.3,184.6,3.28,58.3
570260,13.2,38.9,2.95,3101.7
570261,28.7,84.1,2.93,1300.0
570262,10.3,27.3,2.64,665.5
570263,1.2,3.5,2.98,594.3
570264,7.0,14.1,2.01,4348.2
570265,139.5,435.6,3.12,0.0
570266,58.3,170.6,2.92,1.2
570267,329.7,1035.6,3.14,1.8
570268,489.3,1588.5,3.25,90.2
570269,241.7,750.7,3.11,0.0
570270,454.0,1442.6,3.18,32.3
570271,351.3,1061.2,3.02,148.7
570272,455.0,1575.1,3.46,25.8
570273,219.2,744.2,3.40,185.7
570274,292.7,987.8,3.38,9.3
570275,411.0,1360.2,3.31,89.3
570276,1133.0,3690.4,3.26,340.2
570277,257.5,742.1,2.88,5.0
570278,485.8,1462.6,3.01,294.7
570279,1045.5,2564.7,2.45,43.3
570280,1099.5,3681.9,3.35,511.8
570281,833.5,1883.2,2.26,131.0
570282,509.8,1443.6,2.83,1356.2
570283,389.5,1116.5,2.87,89.0
570284,456.0,1233.5,2.70,416.2
570285,775.7,1961.0,2.53,151.7
570286,1247.2,3830.3,3.07,55.7
570287,312.0,959.8,3.08,348.3
570288,817.2,2544.5,3.11,89.0
570289,719.3,2364.8,3.29,0.0
570290,464.5,1541.4,3.32,278.3
570291,464.3,1402.1,3.02,200.8
570292,489.0,1375.6,2.81,527.0
570293,591.2,1653.9,2.80,0.0
570294,521.3,1226.7,2.35,401.7
570295,357.7,770.2,2.15,237.3
570296,668.2,1781.9,2.67,114.8
570297,266.5,647.3,2.43,1717.5
570298,413.5,1242.2,3.00,321.0
570299,585.5,1737.4,2.97,7.7
570300,524.0,1435.8,2.74,0.7
570301,366.5,916.9,2.50,204.0
570302,362.0,971.2,2.68,921.5
570303,46.2,108.2,2.34,1179.2
570304,8.8,19.2,2.17,329.8
570305,275.0,685.2,2.49,248.7
570306,97.5,242.1,2.48,2940.2
570307,318.0,860.0,2.70,1574.5
570308,394.5,1101.9,2.79,231.7
570309,383.0,969.1,2.53,254.3
570310,294.7,871.3,2.96,15.2
570311,405.0,944.2,2.33,198.0
570312,928.0,2029.5,2.19,658.7
570313,2.0,6.0,2.98,164.7
570314,10.3,31.3,3.03,211.5
570315,420.0,1161.2,2.76,2542.3
570316,7.3,21.7,2.96,93.7
570317,3.7,9.8,2.66,232.0
570318,4.5,12.2,2.72,314.0
570319,190.2,436.0,2.29,324.0
570320,37.0,82.7,2.24,75.0
570321,13.3,34.6,2.59,334.0
570322,189.5,311.9,1.65,1154.8
570323,43.5,71.6,1.65,25.8
570324,99.2,233.8,2.36,69.3
570325,0.8,2.0,2.38,25.8
570326,1.7,5.5,3.28,755.7
570327,69.8,126.7,1.81,1079.8
570328,39.8,127.7,3.21,519.5
570329,175.3,289.9,1.65,883.5
570330,1.0,3.0,2.98,857.3
570331,0.0,0.0,0.00,2361.5
570332,313.3,572.3,1.83,1452.2
570333,103.2,282.8,2.74,125.0
570334,30.3,65.0,2.14,633.0
570335,65.3,177.4,2.71,830.8
570336,139.5,335.2,2.40,409.5
570337,309.7,664.8,2.15,299.3
570338,298.2,749.7,2.51,38.7
570339,700.5,1715.1,2.45,70.7
570340,398.8,910.2,2.28,370.5
570341,163.2,441.4,2.71,421.5
570342,547.7,1538.1,2.81,174.5
570343,764.2,1859.4,2.43,23.0
