lat,lon,PM2.5_ATM_ug/m3
40.507316,-111.899188,13.19
40.72751,-111.861434,10.27
41.237524,-111.971543,4.01
38.574463,-109.545786,8.44
40.696268,-111.877378,15.11
40.757155,-111.789128,4.13
40.757155,-111.789128,5.1
40.773861,-111.858669,7.6
40.77428,-111.851048,6.33
40.473036,-111.886182,7.34
40.473542,-111.884294,6.45
40.473755,-111.885259,7.19
40.47382,-111.886311,7.46
40.475862,-111.887186,9.43
40.751973,-111.868187,3.54
40.769943,-111.947224,15.59
40.359413,-111.779701,6.96
40.557209,-111.820857,7.12
40.748885,-111.852346,1.84
40.774837,-111.894313,4.33
40.449095,-111.760208,5.44
40.394769,-111.58543,2.81
40.464425,-111.771045,6.05
40.591639,-111.803802,5.93
40.649946,-111.486913,1.98
40.473757,-111.891266,0.97
40.726098,-111.532678,3.69
40.494951,-111.94553,3.83
40.474171,-111.890752,0.95
41.1824,-111.933246,4.77
41.726894,-112.253201,5.73
40.899503,-111.851913,0.41
40.849575,-111.870652,2.64
40.881748,-111.871553,8.68
41.321125,-112.032945,11.93
41.513901,-112.003648,7.87
41.493873,-112.028982,8.82
41.502909,-112.005797,4.78
41.511783,-112.024894,9.33
41.520963,-112.016323,8.22
40.615396,-111.793291,7.42
40.673606,-111.798415,7.05
40.73598,-111.576782,1.13
41.172134,-111.923889,0.42
40.621821,-111.82026,0.98
40.265065,-111.641108,5.2
40.631655,-111.794189,4.35
40.709764,-111.817898,5.39
40.790446,-111.179579,1.35
40.707397,-111.808776,5.78
40.766939,-111.867444,8.27
40.284815,-110.337758,2.67
40.601292,-111.81343,4.68
40.395902,-111.741276,7.25
40.942869,-111.890441,9.74
40.919156,-111.878214,11.64
40.908327,-111.8787,10.95
40.915708,-111.884368,10.13
40.925529,-111.897926,11.13
40.939287,-111.882796,10.32
37.112017,-113.57957,4.69
41.100194,-112.005107,11.16
40.77445,-111.88332,8.85
40.650434,-111.547155,1.24
40.559951,-112.288232,7
40.727629,-111.824421,16.96
